,Bubble Sort,Selection Sort,Insertion Sort,Shell Sort,Quick Sort,Merge Sort,Bucket Sort,Counting Sort,Heap Sort,Radix Sort
1k,0.27110910415649414,0.11908626556396484,0.21695494651794434,0.016605377197265625,0.10882091522216797,0.006002902984619141,0.017081260681152344,0.0,0.01750922203063965,0.0009982585906982422
10k,27.785470724105835,9.444650411605835,21.602692127227783,0.05851864814758301,1.616269588470459,0.07000041007995605,0.4933657646179199,0.0050029754638671875,0.5017621517181396,0.019164323806762695
20k,117.49453783035278,37.05158066749573,81.88720273971558,0.11652112007141113,3.206406354904175,0.14655065536499023,1.4908030033111572,0.012026548385620117,1.3862173557281494,0.039578914642333984
30k,252.9721884727478,82.75889706611633,182.81697964668274,0.16347527503967285,5.019203186035156,0.2241840362548828,8.530422687530518,0.015802383422851562,2.832993984222412,0.05775570869445801
40k,455.0111424922943,146.4808690547943,327.82256746292114,0.22611308097839355,6.540193319320679,0.3061556816101074,14.691211462020874,0.019022703170776367,8.048787593841553,0.07821083068847656
50k,723.127551317215,229.8295714855194,511.87695121765137,0.28466200828552246,7.968257904052734,0.39849853515625,43.32766008377075,0.025084495544433594,44.78462314605713,0.09707403182983398
